SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
GAJA,Gaja Alternative Asset Management Limited,EQ,26-AUG-2026,5,1,INE18UN01038,5
GLASSWALL,Glass Wall Systems (India) Limited,EQ,16-SEP-2026,2,1,INE644Q01039,2
KANOHAR,Kanohar Electricals Limited,EQ,16-SEP-2026,2,1,INE877D01025,2
MVELECTRO,MV Electrosystems Limited,EQ,06-AUG-2026,5,1,INE0OWZ01020,5
RENTOMOJO,Rentomojo Limited,EQ,17-SEP-2026,1,1,INE08T701025,1
SKYWAYS,Skyways Air Services Limited,EQ,01-SEP-2026,10,1,INE0PX301025,10
SUNSHINE,Sunshine Pictures Limited,EQ,25-AUG-2026,10,1,INE1B3O01011,10
VEEGALAND,Veegaland Developers Limited,BE,18-SEP-2026,10,1,INE1JTV01015,10
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1
3BBLACKBIO,3B Blackbio Dx Limited,EQ,20-APR-2026,10,1,INE994E01018,10
3IINFOLTD,3i Infotech Limited,BE,22-OCT-2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10
AARNAV,Aarnav Fashions Limited,BE,25-FEB-2026,10,1,INE750R01016,10
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10
AARTECH,Aartech Solonics Limited,BE,10-JUL-2023,5,1,INE01C001026,5
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,BE,14-JUL-2020,10,1,INE09EO01013,10
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
AASTHA,Aastha Spintex Limited,EQ,06-JUL-2026,10,1,INE2FMX01012,10
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2,1,INE421A01028,2
ABANSENT,Abans Enterprises Limited,EQ,20-APR-2026,2,1,INE365O01028,2
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
